Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
SAM40,SAM,40,Andean,278.1,-5.5,275.4,-5.8,286.2,-4.5,82.9,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Jarrin et al. (2023),65.0,80.0,3.0,65.0,62.0,76.0,7.0,62.0,5.0,130.0,47.0,3.0,10.0,50.0,30.0,874.0
SAM41,SAM,41,Andean,278.4,-7.0,275.8,-7.9,286.1,-4.3,71.4,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),66.0,80.0,8.0,66.0,64.0,77.0,6.0,64.0,4.0,133.0,62.0,2.0,10.0,50.0,29.0,872.0
SAM42,SAM,42,Andean,279.2,-9.0,276.7,-10.2,286.5,-5.4,64.0,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),67.0,79.0,15.0,65.0,65.0,76.0,12.0,63.0,4.0,128.0,64.0,2.0,10.0,48.0,29.0,837.0
SAM43,SAM,43,Andean,280.4,-11.0,278.0,-12.4,287.4,-6.8,58.9,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),68.0,79.0,20.0,64.0,65.0,76.0,17.0,63.0,5.0,123.0,64.0,2.0,11.0,47.0,41.0,1191.0
SAM44,SAM,44,Andean,281.7,-13.0,279.4,-14.5,288.5,-8.4,55.5,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),70.0,78.0,23.0,64.0,66.0,76.0,20.0,62.0,5.0,118.0,62.0,2.0,11.0,47.0,43.0,1229.0
SAM45,SAM,45,Andean,283.4,-15.0,281.2,-16.7,289.7,-9.7,50.0,1,SS-C,-999,NAZCA,SOUTH_AMERICA,PERU,Villegas-Lanza et al. (2016),70.0,77.0,27.0,63.0,67.0,75.0,25.0,60.0,5.0,112.0,62.0,2.0,11.0,52.0,45.0,1321.0
SAM46,SAM,46,Andean,285.9,-17.0,284.1,-19.1,291.0,-10.6,37.8,1,C-SS,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),71.0,76.0,38.0,56.0,60.0,75.0,38.0,47.0,12.0,79.0,41.0,9.0,16.0,54.0,46.0,1173.0
SAM47,SAM,47,Andean,288.0,-19.0,285.6,-20.5,294.9,-14.3,56.4,1,C,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),72.0,75.0,19.0,68.0,59.0,75.0,19.0,56.0,14.0,73.0,17.0,13.0,20.0,39.0,53.0,1441.0
SAM48,SAM,48,Andean,288.7,-21.0,285.8,-21.2,297.3,-19.9,84.4,1,C,-999,NAZCA,SOUTH_AMERICA,ALTIPLANO,Argus et al. (2011),73.0,75.0,10.0,72.0,58.0,75.0,9.0,57.0,15.0,73.0,11.0,15.0,18.0,37.0,53.0,1376.0
SAM49,SAM,49,Andean,288.7,-23.0,285.8,-22.7,297.5,-23.5,94.7,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),73.0,75.0,20.0,69.0,72.0,71.0,24.0,65.0,5.0,35.0,60.0,3.0,16.0,41.0,51.0,1544.0
SAM5,SAM,5,Central America,262.0,15.6,261.1,13.0,264.7,23.3,17.8,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",70.0,32.0,14.0,68.0,71.0,25.0,7.0,71.0,9.0,123.0,106.0,-2.0,19.0,61.0,12.0,511.0
SAM50,SAM,50,Andean,288.6,-25.0,285.6,-24.8,297.5,-25.1,93.3,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,75.0,18.0,70.0,72.0,71.0,22.0,66.0,5.0,40.0,54.0,3.0,15.0,42.0,47.0,1439.0
SAM51,SAM,51,Andean,288.3,-27.0,285.3,-26.4,297.3,-28.2,101.1,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,75.0,26.0,66.0,72.0,71.0,30.0,62.0,5.0,45.0,56.0,3.0,14.0,42.0,46.0,1299.0
SAM52,SAM,52,Andean,287.7,-29.0,284.7,-28.5,296.9,-29.9,99.4,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,76.0,24.0,68.0,72.0,71.0,28.0,63.0,5.0,52.0,47.0,3.0,11.0,44.0,45.0,1255.0
SAM53,SAM,53,Andean,287.5,-30.5,284.4,-30.3,296.9,-30.7,94.3,1,C-SS,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,76.0,19.0,70.0,71.0,72.0,23.0,66.0,5.0,57.0,38.0,4.0,12.0,42.0,40.0,1158.0
SAM54,SAM,54,Andean,287.4,-32.0,284.2,-31.7,297.0,-32.3,94.8,1,C-SS,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,76.0,19.0,70.0,71.0,72.0,23.0,65.0,5.0,61.0,34.0,4.0,16.0,37.0,39.0,1112.0
SAM55,SAM,55,Andean,286.9,-34.0,283.9,-32.9,296.2,-36.8,113.3,1,SS-C,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,76.0,37.0,59.0,71.0,72.0,42.0,53.0,5.0,68.0,46.0,3.0,22.0,33.0,36.0,877.0
SAM56,SAM,56,Andean,286.2,-35.5,283.3,-34.2,295.4,-39.0,118.4,1,C-SS,-999,NAZCA,SOUTH_AMERICA,CENTRAL ANDES,Brooks et al. (2003),74.0,76.0,42.0,55.0,71.0,72.0,47.0,49.0,5.0,74.0,44.0,4.0,20.0,43.0,34.0,853.0
SAM57,SAM,57,Andean,285.4,-37.0,282.2,-36.3,295.4,-38.7,105.0,1,Undefined,-999,NAZCA,SOUTH_AMERICA,-999,-999,74.0,77.0,28.0,65.0,74.0,77.0,28.0,65.0,-999.0,-999.0,-999.0,-999.0,20.0,44.0,32.0,1078.0
SAM58,SAM,58,Andean,284.9,-39.0,281.5,-38.5,295.3,-39.8,99.0,1,Undefined,-999,NAZCA,SOUTH_AMERICA,-999,-999,74.0,77.0,22.0,68.0,74.0,77.0,22.0,68.0,-999.0,-999.0,-999.0,-999.0,22.0,44.0,29.0,1054.0
SAM59,SAM,59,Andean,284.7,-41.0,281.2,-40.6,295.5,-41.5,97.0,1,SS,-999,NAZCA,SOUTH_AMERICA,DEF_SOUTH_ANDES,"Wang et al., (2007)",73.0,77.0,20.0,69.0,72.0,80.0,17.0,69.0,4.0,4.0,93.0,0.0,23.0,41.0,23.0,831.0
SAM6,SAM,6,Central America,264.0,15.3,263.5,12.6,265.5,23.3,9.7,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",73.0,32.0,22.0,68.0,73.0,25.0,15.0,70.0,9.0,113.0,104.0,-2.0,22.0,38.0,14.0,485.0
SAM60,SAM,60,Andean,284.5,-43.0,280.8,-42.7,295.6,-43.2,95.0,1,SS,-999,NAZCA,SOUTH_AMERICA,DEF_SOUTH_ANDES,"Wang et al., (2007)",73.0,77.0,18.0,69.0,71.0,82.0,13.0,70.0,7.0,4.0,91.0,0.0,24.0,36.0,13.0,453.0
SAM61,SAM,61,Andean,283.9,-45.0,280.1,-44.7,295.4,-45.1,95.0,1,SS,-999,NAZCA,SOUTH_AMERICA,DEF_SOUTH_ANDES,"Wang et al., (2007)",73.0,77.0,18.0,69.0,70.0,83.0,12.0,69.0,7.0,10.0,85.0,1.0,12.0,-999.0,3.0,-999.0
SAM62,SAM,62,Andean,283.8,-47.0,279.9,-46.6,295.7,-47.5,98.0,1,SS-C,-999,ANTARCTICA,SOUTH_AMERICA,DEF_SOUTH_ANDES,"Wang et al., (2007)",20.0,87.0,11.0,20.0,18.0,107.0,9.0,18.0,7.0,25.0,73.0,2.0,-999.0,-999.0,8.0,-999.0
SAM63,SAM,63,Andean,282.8,-49.0,278.8,-48.6,295.2,-49.5,98.0,1,Neutral,-999,ANTARCTICA,SOUTH_AMERICA,-999,-999,19.0,87.0,11.0,19.0,19.0,87.0,11.0,19.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,13.0,-999.0
SAM64,SAM,64,Andean,283.3,-51.0,279.0,-51.4,295.5,-48.9,80.0,1,Neutral,-999,ANTARCTICA,SOUTH_AMERICA,-999,-999,19.0,87.0,7.0,18.0,19.0,87.0,7.0,18.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,14.0,-999.0
SAM65,SAM,65,Andean,283.9,-53.0,279.4,-53.0,297.2,-52.1,89.0,1,Undefined,-999,ANTARCTICA,SOUTH_AMERICA,-999,-999,18.0,87.0,2.0,18.0,18.0,87.0,2.0,18.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.0,-999.0
SAM66,SAM,66,Andean,285.7,-55.0,282.2,-56.8,294.6,-49.0,46.0,1,Undefined,-999,ANTARCTICA,SOUTH_AMERICA,-999,-999,17.0,86.0,40.0,13.0,17.0,86.0,40.0,13.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,-999.0
SAM67,SAM,67,Sandwich,329.0,-54.8,329.8,-52.1,325.9,-62.7,190.0,2,Neutral,-999,SOUTH_AMERICA,SCOTIA,-999,-999,9.0,247.0,57.0,5.0,9.0,247.0,57.0,5.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,80.0,-999.0
SAM68,SAM,68,Sandwich,331.0,-54.9,331.3,-52.2,329.8,-63.0,184.0,2,SS,-999,SOUTH_AMERICA,SCOTIA,SANDWICH,Argus et al. (2011),9.0,246.0,62.0,4.0,65.0,264.0,80.0,11.0,57.0,87.0,97.0,-7.0,-999.0,65.0,72.0,-999.0
SAM69,SAM,69,Sandwich,333.0,-55.1,334.9,-52.6,325.7,-62.2,205.0,2,SS-E,-999,SOUTH_AMERICA,SCOTIA,SANDWICH,Argus et al. (2011),9.0,246.0,41.0,7.0,66.0,260.0,55.0,38.0,57.0,82.0,123.0,-31.0,37.0,67.0,64.0,1851.0
SAM7,SAM,7,Central America,266.0,14.2,265.0,11.7,269.1,21.7,21.0,1,SS,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",77.0,32.0,11.0,76.0,74.0,25.0,5.0,74.0,9.0,101.0,80.0,1.0,24.0,55.0,25.0,1134.0
SAM70,SAM,70,Sandwich,334.9,-56.0,338.9,-54.6,321.1,-59.3,240.0,2,E-SS,-999,SOUTH_AMERICA,SCOTIA,SANDWICH,Argus et al. (2011),8.0,245.0,5.0,8.0,68.0,257.0,17.0,65.0,60.0,79.0,161.0,-57.0,35.0,66.0,66.0,3190.0
SAM71,SAM,71,Sandwich,336.2,-58.0,341.2,-57.7,320.9,-57.8,265.0,2,E,-999,SOUTH_AMERICA,SCOTIA,SANDWICH,Argus et al. (2011),8.0,243.0,22.0,8.0,73.0,255.0,10.0,72.0,65.0,77.0,172.0,-64.0,32.0,66.0,44.0,2286.0
SAM72,SAM,72,Sandwich,335.4,-60.0,339.2,-62.0,326.5,-53.5,319.0,2,SS-E,-999,SOUTH_AMERICA,SCOTIA,SANDWICH,Argus et al. (2011),8.0,243.0,76.0,2.0,77.0,257.0,62.0,37.0,69.0,79.0,120.0,-35.0,43.0,66.0,23.0,679.0
SAM8,SAM,8,Central America,268.0,13.2,266.8,10.8,271.9,20.4,26.5,1,E-SS,-999,COCOS,CARIBBEAN,CENTRAL AMERICAN FOREARC,"Carvajal-Soto et al., (2020)",68.0,21.0,6.0,67.0,79.0,28.0,1.0,79.0,14.0,242.0,144.0,-12.0,28.0,65.0,24.0,1304.0
SAM9,SAM,9,Central America,270.0,12.3,269.0,9.8,273.2,19.8,22.2,1,SS-E,-999,COCOS,CARIBBEAN,CENTRAL AMERICAN FOREARC,"Carvajal-Soto et al., (2020)",71.0,21.0,1.0,71.0,77.0,28.0,6.0,77.0,11.0,259.0,123.0,-6.0,30.0,64.0,25.0,1346.0
SEA1,SEA,1,Andaman,92.1,14.0,89.5,15.0,99.7,10.9,112.0,1,SS-E,-999,INDIA,SUNDA,BURMA,Argus et al. (2011),43.0,17.0,95.0,-4.0,13.0,105.0,7.0,13.0,45.0,359.0,113.0,-18.0,24.0,46.0,83.0,608.0
SEA10,SEA,10,Sumatra,99.7,-4.0,97.6,-5.7,105.9,1.2,50.0,1,SS,-999,CAPRICORN,SUNDA,SUMATRA FOREARC,Bradley et al. (2017),57.0,22.0,28.0,50.0,52.0,39.0,11.0,51.0,18.0,317.0,93.0,-1.0,23.0,59.0,68.0,2164.0
SEA11,SEA,11,Sumatra,100.8,-5.5,98.7,-7.2,107.1,-0.4,50.8,1,SS,-999,CAPRICORN,SUNDA,SUMATRA FOREARC,Bradley et al. (2017),58.0,22.0,29.0,51.0,54.0,40.0,11.0,53.0,18.0,313.0,98.0,-2.0,21.0,62.0,79.0,2599.0
SEA12,SEA,12,Sumatra,102.3,-7.0,100.8,-9.2,106.8,-0.3,33.5,1,SS,-999,CAPRICORN,SUNDA,SUMATRA FOREARC,Bradley et al. (2017),59.0,22.0,11.0,58.0,57.0,40.0,6.0,56.0,18.0,308.0,85.0,1.0,19.0,60.0,91.0,3036.0
SEA13,SEA,13,Java,105.0,-8.4,103.5,-10.7,109.3,-1.5,32.4,1,SS-C,-999,AUSTRALIA,SUNDA,WEST JAVA,Koulali et al. (2017),64.0,15.0,17.0,61.0,65.0,9.0,24.0,60.0,7.0,107.0,75.0,2.0,21.0,62.0,101.0,3761.0
SEA14,SEA,14,Java,107.0,-9.7,105.8,-12.1,110.4,-2.3,24.7,1,SS-C,-999,AUSTRALIA,SUNDA,WEST JAVA,Koulali et al. (2017),66.0,15.0,9.0,65.0,65.0,9.0,16.0,62.0,8.0,95.0,71.0,3.0,20.0,58.0,106.0,3911.0
SEA15,SEA,15,Java,109.0,-10.5,108.5,-13.1,110.4,-2.5,10.0,1,SS-C,-999,AUSTRALIA,SUNDA,WEST JAVA,Koulali et al. (2017),67.0,15.0,5.0,67.0,65.0,8.0,2.0,65.0,8.0,85.0,76.0,2.0,22.0,56.0,116.0,4538.0
SEA16,SEA,16,Java,111.0,-10.4,110.5,-13.1,112.4,-2.4,10.0,1,SS,-999,AUSTRALIA,SUNDA,EAST JAVA,Koulali et al. (2016),69.0,15.0,5.0,68.0,67.0,6.0,4.0,67.0,10.0,90.0,80.0,2.0,23.0,55.0,123.0,4985.0
SEA17,SEA,17,Java,113.0,-10.7,112.6,-13.4,114.1,-2.7,8.0,1,SS-C,-999,AUSTRALIA,SUNDA,EAST JAVA,Koulali et al. (2016),70.0,14.0,6.0,69.0,66.0,6.0,2.0,65.0,11.0,77.0,69.0,4.0,22.0,54.0,128.0,4924.0
SEA18,SEA,18,Java,115.0,-11.2,114.5,-13.8,116.5,-3.3,11.4,1,SS-C,-999,AUSTRALIA,SUNDA,SUMBA,Koulali et al. (2016),71.0,14.0,2.0,71.0,64.0,358.0,14.0,62.0,20.0,74.0,63.0,9.0,21.0,58.0,131.0,4899.0
SEA19,SEA,19,Java,117.0,-11.3,117.0,-14.0,116.9,-3.2,358.7,1,SS-C,-999,AUSTRALIA,SUNDA,SUMBA,Koulali et al. (2016),72.0,13.0,14.0,70.0,55.0,357.0,2.0,55.0,25.0,52.0,54.0,15.0,21.0,60.0,134.0,4512.0
SEA2,SEA,2,Andaman,91.6,12.0,88.9,12.5,99.7,10.3,101.0,1,SS-E,-999,INDIA,SUNDA,BURMA,Argus et al. (2011),43.0,18.0,83.0,5.0,22.0,105.0,4.0,22.0,48.0,350.0,111.0,-17.0,26.0,48.0,81.0,1053.0
SEA20,SEA,20,Timor,119.0,-11.1,118.6,-13.8,120.3,-3.1,9.0,1,C-SS,-999,AUSTRALIA,SUNDA,SUMBA,Koulali et al. (2016),73.0,13.0,4.0,73.0,46.0,357.0,12.0,45.0,31.0,37.0,28.0,27.0,21.0,62.0,149.0,4162.0
SEA21,SEA,21,Timor,121.0,-12.1,121.0,-14.8,121.1,-4.0,1.0,1,C-SS,-999,AUSTRALIA,BANDA_SEA,SUMBA,Koulali et al. (2016),61.0,350.0,11.0,61.0,43.0,308.0,53.0,26.0,42.0,34.0,33.0,35.0,19.0,60.0,-999.0,-999.0
SEA22,SEA,22,Timor,123.0,-11.2,123.7,-13.8,120.9,-3.4,345.0,1,C-SS,-999,AUSTRALIA,BANDA_SEA,SUMBA,Koulali et al. (2016),52.0,352.0,27.0,52.0,27.0,286.0,59.0,14.0,48.0,23.0,38.0,38.0,25.0,62.0,-999.0,-999.0
SEA23,SEA,23,Timor,125.0,-10.2,126.0,-12.7,122.0,-2.7,338.0,1,C-SS,-999,AUSTRALIA,BANDA_SEA,TIMOR,Koulali et al. (2016),42.0,357.0,19.0,40.0,15.0,317.0,22.0,14.0,33.0,13.0,35.0,27.0,34.0,65.0,-999.0,-999.0
SEA24,SEA,24,Timor,126.5,-9.6,127.4,-12.1,123.7,-2.0,340.0,1,C-SS,-999,AUSTRALIA,BANDA_SEA,TIMOR,Koulali et al. (2016),35.0,0.0,20.0,33.0,11.0,308.0,32.0,9.0,30.0,17.0,37.0,24.0,38.0,68.0,-999.0,-999.0
SEA25,SEA,25,Timor,128.5,-9.2,129.4,-11.8,126.0,-1.5,342.0,1,C-SS,-999,AUSTRALIA,BANDA_SEA,TIMOR,Koulali et al. (2016),26.0,4.0,22.0,24.0,8.0,283.0,59.0,4.0,26.0,22.0,40.0,20.0,38.0,54.0,-999.0,-999.0
SEA26,SEA,26,Tanimbar,130.5,-8.7,131.7,-11.1,127.1,-1.4,335.0,1,SS-C,-999,AUSTRALIA,BANDA_SEA,TIMOR,Koulali et al. (2016),16.0,15.0,40.0,13.0,7.0,243.0,92.0,0.0,22.0,29.0,54.0,13.0,33.0,45.0,-999.0,-999.0
SEA27,SEA,27,Tanimbar,132.5,-7.1,135.1,-8.0,124.9,-4.3,290.0,1,SS-E,-999,AUSTRALIA,BANDA_SEA,TIMOR,Zhao et al. (2023),14.0,62.0,72.0,-9.0,4.0,193.0,97.0,-1.0,17.0,51.0,121.0,-9.0,31.0,45.0,-999.0,-999.0
SEA28,SEA,28,Aru,133.0,-5.2,136.5,-4.9,125.7,-5.1,269.0,1,Undefined,-999,AUSTRALIA,BANDA_SEA,SERAM,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,41.0,42.0,133.0,-28.0,-999.0,-999.0,-999.0,-999.0,26.0,45.0,-999.0,-999.0
SEA29,SEA,29,Flores,118.0,-7.9,117.8,-5.2,118.7,-16.0,175.0,1,C-SS,-999,SUNDA,AUSTRALIA,SUMBA,Koulali et al. (2016),72.0,192.0,23.0,69.0,20.0,188.0,13.0,20.0,52.0,193.0,18.0,49.0,-999.0,-999.0,-999.0,-999.0
SEA3,SEA,3,Andaman,91.4,10.0,88.7,10.3,99.5,8.9,97.0,1,SS-E,-999,INDIA,SUNDA,BURMA,Argus et al. (2011),43.0,19.0,78.0,9.0,31.0,102.0,5.0,31.0,50.0,341.0,116.0,-22.0,26.0,49.0,77.0,1424.0
SEA30,SEA,30,Flores,120.0,-7.8,120.1,-5.1,119.7,-15.9,182.0,1,C-SS,-999,SUNDA,AUSTRALIA,SUMBA,Koulali et al. (2016),73.0,191.0,9.0,72.0,30.0,185.0,3.0,30.0,44.0,196.0,14.0,42.0,-999.0,-999.0,-999.0,-999.0
SEA31,SEA,31,Wetar,126.0,-7.5,125.3,-4.9,128.2,-15.3,165.0,1,SS-C,-999,BANDA_SEA,AUSTRALIA,TIMOR,Koulali et al. (2016),39.0,195.0,30.0,33.0,43.0,217.0,52.0,27.0,16.0,100.0,65.0,7.0,-999.0,-999.0,-999.0,-999.0
SEA32,SEA,32,Seram,132.0,-3.4,133.7,-1.3,126.7,-9.6,220.0,1,SS,-999,BIRDS_HEAD,BANDA_SEA,DEF_SERAM,Rangin et al. (1999),64.0,257.0,37.0,51.0,75.0,270.0,50.0,48.0,19.0,139.0,81.0,3.0,27.0,42.0,-999.0,-999.0
SEA33,SEA,33,Seram,130.0,-2.4,130.4,-0.0,128.9,-10.7,188.0,1,SS-C,-999,BIRDS_HEAD,BANDA_SEA,DEF_SERAM,Rangin et al. (1999),60.0,264.0,76.0,15.0,75.0,270.0,82.0,10.0,17.0,112.0,76.0,4.0,33.0,44.0,-999.0,-999.0
SEA34,SEA,34,Seram,128.0,-2.4,127.8,0.3,128.6,-10.5,176.0,1,SS,-999,BIRDS_HEAD,BANDA_SEA,DEF_SERAM,Rangin et al. (1999),59.0,271.0,95.0,-5.0,75.0,270.0,94.0,-5.0,16.0,86.0,90.0,0.0,36.0,52.0,-999.0,-999.0
SEA35,SEA,35,Halmahera,126.8,0.0,124.1,0.3,134.8,-1.0,97.0,1,Undefined,-999,SULA BLOCK,-999,UNDEF_HALMAHERA_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,45.0,80.0,17.0,43.0,-999.0,-999.0,-999.0,-999.0,37.0,57.0,43.0,1332.0
SEA36,SEA,36,Halmahera,127.3,2.0,124.9,3.2,134.5,-1.7,117.0,1,Undefined,-999,SULA BLOCK,-999,UNDEF_HALMAHERA_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,45.0,80.0,37.0,36.0,-999.0,-999.0,-999.0,-999.0,44.0,55.0,43.0,1172.0
SEA37,SEA,37,North Sulawesi,123.0,2.0,122.5,4.7,124.4,-6.0,170.0,1,SS-C,-999,SUNDA,MOLUCCA_SEA,DEF_MANADO ,Socquet et al. (2006),21.0,178.0,8.0,21.0,18.0,158.0,12.0,18.0,7.0,234.0,64.0,3.0,28.0,0.0,35.0,148.0
SEA38,SEA,38,North Sulawesi,121.0,2.3,121.5,5.0,119.6,-5.7,190.0,1,SS,-999,SUNDA,MOLUCCA_SEA,DEF_NORTH_SULA,Socquet et al. (2006),34.0,182.0,8.0,34.0,37.0,167.0,23.0,34.0,10.0,282.0,92.0,0.0,28.0,0.0,40.0,319.0
SEA39,SEA,39,Sangihe,126.4,1.0,128.8,-0.3,119.2,4.8,298.0,1,Undefined,-999,SULA BLOCK,-999,UNDEF_SANGIHE_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,47.0,304.0,6.0,47.0,-999.0,-999.0,-999.0,-999.0,27.0,49.0,43.0,1221.0
SEA4,SEA,4,Andaman,91.7,8.0,89.0,7.4,99.7,9.7,77.0,1,SS-E,-999,INDIA,SUNDA,BURMA,Argus et al. (2011),44.0,20.0,57.0,24.0,39.0,98.0,21.0,37.0,52.0,332.0,105.0,-13.0,26.0,51.0,73.0,1642.0
SEA40,SEA,40,Sangihe,127.0,3.0,129.7,2.5,119.0,4.5,281.0,1,Undefined,-999,SULA BLOCK,-999,UNDEF_SANGIHE_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,47.0,304.0,23.0,43.0,-999.0,-999.0,-999.0,-999.0,27.0,53.0,43.0,1158.0
SEA41,SEA,41,Sangihe,126.6,5.0,129.3,5.1,118.5,4.7,268.0,1,Undefined,-999,SULA BLOCK,-999,UNDEF_SANGIHE_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,47.0,304.0,36.0,38.0,-999.0,-999.0,-999.0,-999.0,35.0,57.0,43.0,1154.0
SEA42,SEA,42,Philippines,128.6,4.0,131.1,5.1,121.2,0.7,246.0,1,Undefined,-999,PHILIPPINE_SEA,-999,UNDEF_SOUTH_PHILIPPINES,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,23.0,270.0,24.0,21.0,-999.0,-999.0,-999.0,-999.0,38.0,0.0,-999.0,-999.0
SEA43,SEA,43,Philippines,127.4,6.0,129.9,7.0,119.9,2.8,247.3,1,Undefined,-999,PHILIPPINE_SEA,-999,UNDEF_SOUTH_PHILIPPINES,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,30.0,271.0,24.0,27.0,-999.0,-999.0,-999.0,-999.0,47.0,61.0,-999.0,-999.0
SEA44,SEA,44,Philippines,127.3,8.0,130.0,8.1,119.1,7.5,267.0,1,C-SS,-999,PHILIPPINE_SEA,SUNDA,DEF_EAST_PHILIPPINES,Rangin et al. (1999),103.0,294.0,27.0,92.0,36.0,272.0,5.0,36.0,71.0,305.0,38.0,56.0,45.0,65.0,50.0,1452.0
SEA45,SEA,45,Philippines,126.8,10.0,129.4,10.8,119.0,7.5,252.8,1,SS-C,-999,PHILIPPINE_SEA,SUNDA,DEF_EAST_PHILIPPINES,Rangin et al. (1999),101.0,295.0,42.0,75.0,34.0,274.0,21.0,32.0,70.0,305.0,52.0,43.0,40.0,61.0,50.0,1214.0
SEA46,SEA,46,Philippines,126.2,12.0,128.7,13.0,118.7,8.7,247.4,1,SS-C,-999,PHILIPPINE_SEA,SUNDA,DEF_EAST_PHILIPPINES,Rangin et al. (1999),99.0,295.0,48.0,66.0,47.0,276.0,29.0,41.0,57.0,311.0,63.0,25.0,36.0,63.0,50.0,1516.0
SEA47,SEA,47,Philippines,125.2,14.0,127.8,15.0,117.6,10.9,248.0,1,SS-C,-999,PHILIPPINE_SEA,SUNDA,DEF_LUZON,Hsu YJ (pers. comm. 2023),98.0,296.0,48.0,65.0,24.0,255.0,7.0,24.0,81.0,307.0,60.0,41.0,33.0,53.0,45.0,725.0
SEA48,SEA,48,Philippines,123.5,15.6,124.7,18.0,120.1,8.2,205.0,1,Undefined,-999,PHILIPPINE_SEA,SUNDA,-999,-999,97.0,298.0,93.0,-4.0,97.0,298.0,93.0,-4.0,-999.0,-999.0,-999.0,-999.0,40.0,-999.0,36.0,-999.0
SEA49,SEA,49,Cotobato,125.2,4.5,122.5,4.4,133.3,4.7,88.0,1,Undefined,-999,SUNDA,-999,UNDEF_SANGIHE_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,40.0,-999.0,32.0,-999.0
SEA5,SEA,5,Andaman,92.6,6.0,90.1,5.1,100.3,8.7,70.0,1,SS-E,-999,INDIA,SUNDA,BURMA,Argus et al. (2011),44.0,21.0,49.0,29.0,48.0,92.0,22.0,44.0,54.0,323.0,107.0,-16.0,24.0,59.0,62.0,1724.0
SEA50,SEA,50,Cotobato,123.8,6.5,121.6,4.9,130.4,11.3,53.0,1,Undefined,-999,SUNDA,-999,UNDEF_SANGIHE_ARC,Rangin et al. (1999),-999.0,-999.0,-999.0,-999.0,35.0,113.0,60.0,17.0,-999.0,-999.0,-999.0,-999.0,33.0,-999.0,46.0,-999.0
SEA51,SEA,51,Sulu,121.7,10.0,119.0,10.1,129.9,9.6,92.0,1,C-SS,-999,SUNDA,PHILIPPINE_SEA,DEF_VISAYAS,Simons et al. (2007),103.0,117.0,25.0,94.0,53.0,101.0,9.0,52.0,54.0,133.0,41.0,41.0,-999.0,-999.0,-999.0,-999.0
SEA52,SEA,52,Sulu,121.6,7.5,119.3,9.0,128.3,2.9,124.0,1,Undefined,-999,SUNDA,-999,UNDEF_SULU ARC,Simons et al. (2007),-999.0,-999.0,-999.0,-999.0,28.0,106.0,18.0,27.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.0,-999.0
