Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
NPA34,NPA,34,Alaska,203.0,54.2,204.4,51.6,197.4,61.7,341.3,1,SS-C,-999,PACIFIC,NORTH_AMERICA,PENINSULA,Elliot and Freymueller (2020),64.0,329.0,12.0,62.0,61.0,333.0,8.0,61.0,5.0,272.0,70.0,2.0,21.0,56.0,54.0,1956.0
NPA35,NPA,35,Alaska,205.0,54.8,207.7,52.6,195.0,60.9,323.1,1,SS-C,-999,PACIFIC,NORTH_AMERICA,PENINSULA,Elliot and Freymueller (2020),63.0,330.0,7.0,62.0,60.0,335.0,12.0,58.0,6.0,278.0,45.0,4.0,20.0,52.0,51.0,1671.0
NPA36,NPA,36,Alaska,207.0,55.6,209.3,53.2,198.3,62.3,330.1,1,SS-C,-999,PACIFIC,NORTH_AMERICA,KODIAK,Elliot and Freymueller (2020),61.0,332.0,2.0,61.0,53.0,343.0,13.0,52.0,14.0,284.0,46.0,10.0,18.0,53.0,47.0,1354.0
NPA37,NPA,37,Alaska,209.0,56.2,211.2,53.8,200.3,63.0,331.0,1,SS-C,-999,PACIFIC,NORTH_AMERICA,KODIAK,Elliot and Freymueller (2020),60.0,334.0,3.0,60.0,53.0,345.0,14.0,52.0,13.0,282.0,49.0,8.0,18.0,61.0,44.0,1354.0
NPA38,NPA,38,Alaska,211.0,57.1,214.0,55.0,199.6,62.9,319.6,1,C-SS,-999,PACIFIC,NORTH_AMERICA,KODIAK,Elliot and Freymueller (2020),59.0,336.0,16.0,56.0,53.0,347.0,27.0,47.0,12.0,279.0,40.0,9.0,15.0,60.0,43.0,1137.0
NPA39,NPA,39,Alaska,213.0,58.0,216.4,56.0,200.3,63.2,314.5,1,C,-999,PACIFIC,NORTH_AMERICA,PRINCE WILLIAM SOUND,Elliot and Freymueller (2020),57.0,338.0,23.0,53.0,51.0,341.0,27.0,46.0,7.0,313.0,1.0,7.0,14.0,65.0,40.0,1056.0
NPA4,NPA,4,Japan,144.5,40.5,147.7,39.4,134.2,43.1,291.9,1,SS-C,-999,PACIFIC,AMUR,OKHOTSK,Argus et al. (2011),95.0,289.0,3.0,95.0,92.0,292.0,0.0,92.0,6.0,236.0,56.0,3.0,17.0,27.0,130.0,4463.0
NPA40,NPA,40,Alaska,214.5,59.1,218.3,57.3,200.6,63.8,310.6,1,C,-999,PACIFIC,NORTH_AMERICA,PRINCE WILLIAM SOUND,Elliot and Freymueller (2020),56.0,340.0,29.0,49.0,49.0,345.0,34.0,41.0,8.0,313.0,2.0,8.0,13.0,64.0,37.0,852.0
NPA41,NPA,41,Alaska,215.0,59.1,217.7,56.8,204.3,65.5,327.2,1,C,-999,PACIFIC,NORTH_AMERICA,ICY BAY,Elliot and Freymueller (2020),56.0,340.0,13.0,54.0,21.0,13.0,46.0,14.0,40.0,324.0,3.0,40.0,12.0,53.0,37.0,261.0
NPA42,NPA,42,Alaska,215.5,59.2,216.8,56.6,210.2,66.9,345.0,1,C-SS,-999,PACIFIC,NORTH_AMERICA,ICY BAY,Elliot and Freymueller (2020),56.0,341.0,4.0,55.0,21.0,13.0,28.0,19.0,39.0,324.0,21.0,37.0,12.0,36.0,37.0,280.0
NPA43,NPA,43,Cascadia,231.7,50.0,227.8,49.0,244.1,52.1,70.0,1,SS-C,-999,JUAN_DE_FUCA,NORTH_AMERICA,DEF_VANCOUVER_ISLAND,Mazzotti et al. (2003),45.0,49.0,21.0,42.0,43.0,52.0,18.0,41.0,3.0,0.0,70.0,1.0,13.0,-999.0,3.0,-999.0
NPA44,NPA,44,Cascadia,233.4,48.0,229.7,47.0,245.3,50.2,70.0,1,SS-C,-999,JUAN_DE_FUCA,NORTH_AMERICA,DEF_VANCOUVER_ISLAND,Mazzotti et al. (2003),40.0,49.0,21.0,38.0,39.0,53.0,17.0,37.0,3.0,0.0,70.0,1.0,18.0,54.0,5.0,103.0
