lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
143.026345,11.522723,901,699,335.692238,55.597542,8.637526,-84.710979,0.796205,-8.600750,-3.150925,2.543326,3.151410,2.543697,149.639359,1167.548379,45,10186.753245,continental
143.491734,11.728170,901,699,335.786021,55.597542,8.622777,-85.887651,0.618360,-8.600576,-3.337962,2.543152,3.338688,2.543697,150.790878,1223.145921,45,10186.753245,continental
143.957815,11.932864,901,699,335.881576,55.597542,8.611855,-87.069924,0.440214,-8.600596,-3.525000,2.543172,3.525712,2.543697,151.883774,1278.743463,45,10186.753245,oceanic
144.424599,12.136789,901,699,335.978904,55.597542,8.604792,-88.256743,0.261765,-8.600810,-3.712038,2.543385,3.712468,2.543697,152.426208,1334.341005,45,10186.753245,continental
144.874199,12.366603,901,699,317.430290,55.597542,8.590243,-70.788289,2.826703,-8.111845,-2.882975,3.644795,2.883082,3.644919,152.922226,1389.938547,45,10186.753245,oceanic
145.251666,12.704584,901,699,317.512218,55.597542,8.532907,-71.915513,2.648777,-8.111380,-3.068792,3.644330,3.069312,3.644919,153.095825,1445.536088,45,10186.753245,oceanic
145.630137,13.042030,901,699,317.596541,55.597542,8.479056,-73.060900,2.470416,-8.111192,-3.254609,3.644142,3.255308,3.644919,,1500.469131,45,10186.753245,oceanic
146.009642,13.378925,901,699,317.683269,55.597542,8.428785,-74.223824,2.291619,-8.111282,-3.440427,3.644232,3.441057,3.644919,,1444.871589,45,10186.753245,oceanic
146.390209,13.715253,901,699,317.772415,55.597542,8.382185,-75.403577,2.112386,-8.111649,-3.626244,3.644599,3.626543,3.644919,,1389.274047,45,10186.753245,oceanic
146.685487,14.109130,901,699,291.644752,55.597542,8.306273,-50.284302,5.307531,-6.389389,-1.819474,4.916249,1.819583,4.916520,153.591537,1333.676505,45,10186.753245,oceanic
146.876041,14.573799,901,699,291.691953,55.597542,8.192600,-51.247520,5.128217,-6.389059,-2.004397,4.915920,2.004647,4.916520,153.329819,1278.078963,45,10186.753245,oceanic
147.067401,15.038313,901,699,291.740855,55.597542,8.081270,-52.242225,4.948360,-6.389104,-2.189320,4.915965,2.189558,4.916520,,1222.481421,45,10186.753245,oceanic
147.259596,15.502665,901,699,291.791475,55.597542,7.972418,-53.269141,4.767960,-6.389524,-2.374243,4.916384,2.374303,4.916520,,1166.883879,45,10186.753245,oceanic
147.300000,15.995171,901,699,270.000000,55.597542,7.828557,-32.231948,6.622145,-4.175346,-0.560229,5.460556,0.560292,5.461051,,1111.286338,45,10186.753245,oceanic
147.300000,16.495171,901,699,270.000000,55.597542,7.675841,-32.951325,6.441051,-4.175092,-0.744753,5.460303,0.744857,5.461051,,1055.688796,45,10186.753245,oceanic
147.300000,16.995171,901,699,270.000000,55.597542,7.524159,-33.704731,6.259410,-4.175255,-0.929278,5.460465,0.929365,5.461051,,1000.091254,45,10186.753245,oceanic
147.300000,17.495171,901,699,270.000000,55.597542,7.373616,-34.494068,6.077222,-4.175833,-1.113802,5.461043,1.113803,5.461051,,944.493712,45,10186.753245,oceanic
147.300000,17.995171,901,699,270.000000,55.597542,7.223767,-35.311664,5.894738,-4.175509,-1.298075,5.460719,1.298156,5.461051,,888.896170,45,10186.753245,oceanic
147.300000,18.495171,901,699,270.000000,55.597542,7.075249,-36.168957,5.711708,-4.175588,-1.482345,5.460799,1.482410,5.461051,,833.298628,45,10186.753245,oceanic
147.300000,18.995171,901,699,270.000000,55.597542,6.928045,-37.065014,5.528248,-4.175677,-1.666498,5.460888,1.666551,5.461051,,777.701086,45,10186.753245,oceanic
147.300000,19.495171,901,699,270.000000,55.597542,6.782188,-38.000179,5.344424,-4.175548,-1.850467,5.460759,1.850565,5.461051,145.577347,722.103545,45,10186.753245,oceanic
147.300000,19.995171,901,699,270.000000,55.597542,6.638052,-38.981942,5.160052,-4.175836,-2.034437,5.461046,2.034438,5.461051,145.112656,666.506003,45,10186.753245,oceanic
