time_Ma,lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,bab_on,dist_to_backarc_ridge_km,backarc_spreading_cm_yr,dilat_rate_1e-15_s,dilat_in_network
0.000000,-176.718030,-14.655188,901,821,169.829889,55.597542,-15.478289,98.578624,-2.308841,15.305120,1.202226,-9.566072,-1.202231,-9.566112,,277.987709,37,3754.768345,1,107.805782,6.556467,0.000000,0.000000
0.000000,-176.686486,-30.632116,901,821,293.789426,55.597542,7.204345,-27.104697,6.413131,-3.282429,0.631568,3.403791,-0.631679,3.404445,109.691734,180.656987,37,3754.768345,0,,,0.000000,0.000000
0.000000,-176.453188,-30.174390,901,821,293.671357,55.597542,7.446781,-26.155817,6.684220,-3.282644,0.863873,3.404007,-0.863957,3.404445,108.398315,236.254529,37,3754.768345,0,,,0.000000,0.000000
0.000000,-176.228616,-29.714419,901,821,282.150132,55.597542,7.691879,-13.883406,7.467169,-1.845643,1.748211,3.123077,-1.748230,3.123105,106.863815,291.852071,37,3754.768345,0,,,0.000000,0.000000
0.000000,-176.212863,50.615161,901,111,353.032964,55.597542,6.688860,-39.503390,5.161037,-4.254944,2.095632,-0.608620,-2.096794,-0.608957,55.433365,1496.379844,38,10186.753245,0,,,0.000000,0.000000
0.000000,-176.209541,-14.566351,901,821,169.701621,55.597542,-15.516288,99.467785,-2.552321,15.304929,0.983531,-9.565881,-0.983556,-9.566112,,333.585251,37,3754.768345,1,85.636779,7.002992,0.000000,0.000000
0.000000,-176.108030,-29.225564,901,821,282.090807,55.597542,7.953954,-13.414752,7.736940,-1.845304,1.980082,3.122739,-1.980331,3.123105,105.554726,347.449613,37,3754.768345,0,,,0.000000,0.000000
0.000000,-175.988590,-28.736603,901,821,282.032935,55.597542,8.216153,-12.978327,8.006272,-1.845204,2.211952,3.122639,-2.212281,3.123105,104.216713,403.047155,37,3754.768345,0,,,0.000000,0.000000
0.000000,-175.870263,-28.247537,901,821,281.976488,55.597542,8.478421,-12.571134,8.275164,-1.845341,2.443823,3.122776,-2.444063,3.123105,102.849411,458.644697,37,3754.768345,0,,,0.000000,0.000000
0.000000,-175.746585,-27.759945,901,821,289.001749,55.597542,8.739784,-19.253528,8.250957,-2.881933,2.270274,3.426460,-2.270289,3.426482,101.611282,514.242238,37,3754.768345,1,442.290614,3.434725,0.000000,0.000000
