Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi,join_distance_km,muller_row,muller_lon,muller_lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature,UPS_3,M56_vc_cm_yr,M56_vcn_cm_yr,M56_vs_cm_yr,M56_vsn_cm_yr,M56_vd_cm_yr,M56_vdn_cm_yr
SAM13,SAM,13,Panama,279.000000,10.000000,277.900000,12.500000,282.200000,2.500000,157.000000,1,SS-E,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),35.000000,248.000000,91.000000,-1.000000,11.000000,180.000000,23.000000,10.000000,33.000000,267.000000,110.000000,-11.000000,-999.000000,-999.000000,-999.000000,-999.000000,187.238604,747,-79.830024,8.774006,224,2031,59.337928,27.798771,1.161744,61.986023,0.545656,1.025626,-1.425451,-1.051247,1.425451,-1.051247,,0.000000,26,214.322540,continental,SS,3.500000,-0.100000,1.100000,1.000000,3.300000,-1.100000
SAM14,SAM,14,Panama,280.500000,10.500000,280.200000,13.200000,281.500000,2.500000,173.000000,1,SS,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),35.000000,247.000000,74.000000,10.000000,11.000000,180.000000,7.000000,11.000000,33.000000,266.000000,92.000000,-1.000000,-999.000000,-999.000000,-999.000000,-999.000000,195.302068,747,-79.830024,8.774006,224,2031,59.337928,27.798771,1.161744,61.986023,0.545656,1.025626,-1.425451,-1.051247,1.425451,-1.051247,,0.000000,26,214.322540,continental,SS,3.500000,1.000000,1.100000,1.100000,3.300000,-0.100000
SAM15,SAM,15,Panama,282.000000,10.400000,283.800000,12.500000,276.800000,4.200000,220.000000,1,C-SS,-999,CARIBBEAN,NAZCA,PANAMA,Argus et al. (2011),36.000000,246.000000,26.000000,32.000000,11.000000,180.000000,40.000000,9.000000,33.000000,264.000000,34.000000,27.000000,-999.000000,-999.000000,130.000000,-999.000000,125.605607,476,-76.997979,9.849564,224,201,125.939147,27.798771,2.399317,-40.412734,1.826827,-1.555451,1.368917,-0.464665,-1.368917,-0.464665,,0.000000,16,337.319863,continental,C,3.600000,3.200000,1.100000,0.900000,3.300000,2.700000
SAM16,SAM,16,Venezuela,283.500000,10.000000,280.400000,10.700000,290.900000,7.800000,105.000000,1,C-SS,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),20.000000,89.000000,16.000000,19.000000,3.000000,95.000000,10.000000,3.000000,17.000000,88.000000,18.000000,16.000000,-999.000000,-999.000000,131.000000,-999.000000,35.740599,477,-76.699755,10.254252,224,201,125.991199,55.597542,2.354546,-41.348106,1.767580,-1.555489,1.372617,-0.464628,-1.372727,-0.464665,137.936203,55.597542,16,337.319863,continental,C,2.000000,1.900000,0.300000,0.300000,1.700000,1.600000
SAM17,SAM,17,Venezuela,285.000000,12.200000,283.000000,14.100000,290.700000,6.400000,135.000000,1,SS-C,-999,CARIBBEAN,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),19.000000,87.000000,48.000000,13.000000,4.000000,149.000000,14.000000,4.000000,18.000000,75.000000,61.000000,9.000000,-999.000000,-999.000000,-999.000000,-999.000000,9.657081,482,-75.087444,12.184599,224,201,133.272101,31.533383,2.152979,-53.863868,1.269624,-1.738785,1.436335,-0.293570,-1.436343,-0.293572,144.010010,3.734612,16,337.319863,oceanic,SS,1.900000,1.300000,0.400000,0.400000,1.800000,0.900000
SAM2,SAM,2,Central America,256.000000,17.900000,254.300000,15.700000,261.300000,24.300000,37.400000,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",59.000000,32.000000,5.000000,59.000000,65.000000,23.000000,14.000000,63.000000,11.000000,149.000000,112.000000,-4.000000,34.000000,51.000000,3.000000,126.000000,32.038568,53,-103.898679,18.171545,909,101,31.009037,55.597542,4.936032,10.489562,4.853542,0.898636,0.902105,-0.581125,-0.902125,-0.581139,2.477916,121.048895,0,677.024314,continental,SS,5.900000,5.900000,6.500000,6.300000,1.100000,-0.400000
SAM29,SAM,29,Antilles,298.000000,19.300000,299.200000,21.700000,294.500000,11.900000,205.000000,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.000000,253.000000,48.000000,13.000000,20.000000,253.000000,48.000000,13.000000,0.000000,-999.000000,-999.000000,0.000000,23.000000,47.000000,89.000000,649.000000,85.890069,757,-61.238082,19.583622,101,2011,224.489682,27.798771,1.447007,41.581113,1.082385,0.960349,1.202681,0.461330,-1.202681,0.461330,85.387009,0.000000,27,427.866837,oceanic,N,2.000000,1.300000,2.000000,1.300000,0.000000,0.000000
SAM3,SAM,3,Central America,258.000000,16.900000,256.800000,14.400000,261.700000,24.200000,25.000000,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",63.000000,32.000000,7.000000,63.000000,67.000000,24.000000,1.000000,67.000000,10.000000,141.000000,116.000000,-5.000000,28.000000,72.000000,6.000000,286.000000,32.967275,49,-102.072010,17.188377,909,101,24.084290,55.597542,5.457076,16.777514,5.224784,1.575218,0.752114,-0.687023,-0.752117,-0.687025,9.554205,333.585251,0,677.024314,continental,SS,6.300000,6.300000,6.700000,6.700000,1.000000,-0.500000
SAM30,SAM,30,Antilles,299.800000,18.000000,302.000000,19.700000,293.500000,12.700000,230.000000,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.000000,253.000000,23.000000,18.000000,20.000000,253.000000,23.000000,18.000000,0.000000,-999.000000,-999.000000,0.000000,21.000000,48.000000,80.000000,793.000000,52.750364,761,-59.736532,18.175938,101,2011,224.975621,55.597542,1.445612,41.635607,1.080429,0.960451,1.258503,0.461227,-1.258780,0.461330,77.854919,222.390167,27,427.866837,oceanic,N,2.000000,1.800000,2.000000,1.800000,0.000000,0.000000
SAM31,SAM,31,Antilles,301.200000,16.000000,303.800000,16.900000,293.400000,13.100000,250.000000,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.000000,253.000000,3.000000,20.000000,20.000000,253.000000,3.000000,20.000000,0.000000,-999.000000,-999.000000,0.000000,22.000000,44.000000,81.000000,866.000000,38.197508,766,-58.445151,16.040956,201,2011,246.188747,55.597542,1.397272,26.124554,1.254525,0.615252,1.079216,0.885895,-1.079239,0.885914,78.775101,500.377877,28,703.251106,oceanic,N,2.000000,2.000000,2.000000,2.000000,0.000000,0.000000
