time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
3.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,22,22,126.469257,10308.532725,471.79062899999997,143.500091,29.5759305,0,0,1.0,1
3.0,Japan,C,NE_Japan_inversion,23,23,121.653442,10308.532725,276.410755,142.944676,37.287045,0,1,1.0,1
3.0,Kermadec,E,Havre_Trough,53,32,115.829643,4439.359946,277.987709,-177.232511,-32.998933,1,0,1.0,1
3.0,Manus,E,Manus_Basin,17,17,24.542461,931.22052,111.195084,151.070186,-5.79949,1,0,0.0,1
3.0,Mariana,E,Mariana_Trough,37,36,134.13521550000002,10308.532725,916.885243,146.5077,16.340874,1,0,1.0,1
3.0,NewHebrides,E,North_Fiji_Basin,40,34,36.7665615,3620.696354,213.8498245,168.562714,-16.0163615,1,0,0.0,1
3.0,Scotia,E,East_Scotia_Ridge,15,15,44.640339,803.107142,191.534182,-27.744057,-57.857437,1,0,0.0,1
3.0,Tonga,E,Lau_Basin,32,27,93.994034,4439.359946,464.2202165,-175.668027,-18.396130499999998,1,0,1.0,1
4.0,Andaman,E,Central_Andaman_Basin,17,15,77.721046,2597.533103,444.780335,91.189451,8.746868,1,0,1.0,1
4.0,Andes,C,Central_Andes_shortening,46,46,53.9926605,7130.32233,1547.692141,-72.3892275,-20.874284,0,1,0.0,0
4.0,Calabria,E,Tyrrhenian_Calabria,23,4,222.581421,6981.217188,232.906444,14.813847,39.815109,1,0,1.0,1
4.0,Cascadia,N,Cascadia_no_backarc,26,22,5.658125,1420.173184,348.7025695,-124.785575,46.362854999999996,0,0,0.0,1
4.0,Hellenic,E,Aegean_rifting,32,22,251.94581599999998,6981.217188,560.4528345,20.696695499999997,34.1681285,1,0,1.0,1
4.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,22,22,124.1758765,10232.243709,564.964639,143.850785,29.359036000000003,0,0,1.0,1
4.0,Japan,C,NE_Japan_inversion,25,25,119.688805,10232.243709,295.96615,143.192799,37.87889,0,1,1.0,1
4.0,Kermadec,E,Havre_Trough,56,37,113.711868,4427.608447,278.4702615,-177.2580205,-33.0710785,1,0,1.0,1
4.0,Mariana,E,Mariana_Trough,37,37,131.608734,10232.243709,889.56067,146.512277,15.980315,1,0,1.0,1
